0001 	Bulbasaur	64 	0 	0 	0 	1 	0 	0 	1
0002 	Ivysaur	141 	0 	0 	0 	1 	1 	0 	2
0003 	Venusaur	208 	0 	0 	0 	2 	1 	0 	3
0004 	Charmander	65 	0 	0 	0 	0 	0 	1 	1
0005 	Charmeleon	142 	0 	0 	0 	1 	0 	1 	2
0006 	Charizard	209 	0 	0 	0 	3 	0 	0 	3
0007 	Squirtle	66 	0 	0 	1 	0 	0 	0 	1
0008 	Wartortle	143 	0 	0 	1 	0 	1 	0 	2
0009 	Blastoise	210 	0 	0 	0 	0 	3 	0 	3
0010 	Caterpie	53 	1 	0 	0 	0 	0 	0 	1
0011 	Metapod	72 	0 	0 	2 	0 	0 	0 	2
0012 	Butterfree	160 	0 	0 	0 	2 	1 	0 	3
0013 	Weedle	52 	0 	0 	0 	0 	0 	1 	1
0014 	Kakuna	71 	0 	0 	2 	0 	0 	0 	2
0015 	Beedrill	159 	0 	2 	0 	0 	1 	0 	3
0016 	Pidgey	55 	0 	0 	0 	0 	0 	1 	1
0017 	Pidgeotto	113 	0 	0 	0 	0 	0 	2 	2
0018 	Pidgeot	172 	0 	0 	0 	0 	0 	3 	3
0019 	Rattata	57 	0 	0 	0 	0 	0 	1 	1
0020 	Raticate	116 	0 	0 	0 	0 	0 	2 	2
0021 	Spearow	58 	0 	0 	0 	0 	0 	1 	1
0022 	Fearow	162 	0 	0 	0 	0 	0 	2 	2
0023 	Ekans	62 	0 	1 	0 	0 	0 	0 	1
0024 	Arbok	147 	0 	2 	0 	0 	0 	0 	2
0025 	Pikachu	82 	0 	0 	0 	0 	0 	2 	2
0026 	Raichu	122 	0 	0 	0 	0 	0 	3 	3
0027 	Sandshrew	93 	0 	0 	1 	0 	0 	0 	1
0028 	Sandslash	163 	0 	0 	2 	0 	0 	0 	2
0029 	Nidoran♀	59 	1 	0 	0 	0 	0 	0 	1
0030 	Nidorina	117 	2 	0 	0 	0 	0 	0 	2
0031 	Nidoqueen	194 	3 	0 	0 	0 	0 	0 	3
0032 	Nidoran♂	60 	0 	1 	0 	0 	0 	0 	1
0033 	Nidorino	118 	0 	2 	0 	0 	0 	0 	2
0034 	Nidoking	195 	0 	3 	0 	0 	0 	0 	3
0035 	Clefairy	68 	2 	0 	0 	0 	0 	0 	2
0036 	Clefable	129 	3 	0 	0 	0 	0 	0 	3
0037 	Vulpix	63 	0 	0 	0 	0 	0 	1 	1
0038 	Ninetales	178 	0 	0 	0 	1 	1 	0 	2
0039 	Jigglypuff	76 	2 	0 	0 	0 	0 	0 	2
0040 	Wigglytuff	109 	3 	0 	0 	0 	0 	0 	3
0041 	Zubat	54 	0 	0 	0 	0 	0 	1 	1
0042 	Golbat	171 	0 	0 	0 	0 	0 	2 	2
0043 	Oddish	78 	0 	0 	0 	1 	0 	0 	1
0044 	Gloom	132 	0 	0 	0 	2 	0 	0 	2
0045 	Vileplume	184 	0 	0 	0 	3 	0 	0 	3
0046 	Paras	70 	0 	1 	0 	0 	0 	0 	1
0047 	Parasect	128 	0 	2 	1 	0 	0 	0 	3
0048 	Venonat	75 	0 	0 	0 	0 	1 	0 	1
0049 	Venomoth	138 	0 	0 	0 	1 	0 	1 	2
0050 	Diglett	81 	0 	0 	0 	0 	0 	1 	1
0051 	Dugtrio	153 	0 	0 	0 	0 	0 	2 	2
0052 	Meowth	69 	0 	0 	0 	0 	0 	1 	1
0053 	Persian	148 	0 	0 	0 	0 	0 	2 	2
0054 	Psyduck	80 	0 	0 	0 	1 	0 	0 	1
0055 	Golduck	174 	0 	0 	0 	2 	0 	0 	2
0056 	Mankey	74 	0 	1 	0 	0 	0 	0 	1
0057 	Primeape	149 	0 	2 	0 	0 	0 	0 	2
0058 	Growlithe	91 	0 	1 	0 	0 	0 	0 	1
0059 	Arcanine	213 	0 	2 	0 	0 	0 	0 	2
0060 	Poliwag	77 	0 	0 	0 	0 	0 	1 	1
0061 	Poliwhirl	131 	0 	0 	0 	0 	0 	2 	2
0062 	Poliwrath	185 	0 	0 	3 	0 	0 	0 	3
0063 	Abra	75 	0 	0 	0 	1 	0 	0 	1
0064 	Kadabra	145 	0 	0 	0 	2 	0 	0 	2
0065 	Alakazam	186 	0 	0 	0 	3 	0 	0 	3
0066 	Machop	75 	0 	1 	0 	0 	0 	0 	1
0067 	Machoke	146 	0 	2 	0 	0 	0 	0 	2
0068 	Machamp	193 	0 	3 	0 	0 	0 	0 	3
0069 	Bellsprout	84 	0 	1 	0 	0 	0 	0 	1
0070 	Weepinbell	151 	0 	2 	0 	0 	0 	0 	2
0071 	Victreebel	191 	0 	3 	0 	0 	0 	0 	3
0072 	Tentacool	105 	0 	0 	0 	0 	1 	0 	1
0073 	Tentacruel	205 	0 	0 	0 	0 	2 	0 	2
0074 	Geodude	73 	0 	0 	1 	0 	0 	0 	1
0075 	Graveler	134 	0 	0 	2 	0 	0 	0 	2
0076 	Golem	177 	0 	0 	3 	0 	0 	0 	3
0077 	Ponyta	152 	0 	0 	0 	0 	0 	1 	1
0078 	Rapidash	192 	0 	0 	0 	0 	0 	2 	2
0079 	Slowpoke	99 	1 	0 	0 	0 	0 	0 	1
